
[MeshData]

UVêî : 1188

UVî‘çÜ0 : { 0.163101, -0.364505 }
UVî‘çÜ148 : { 0.0604838, -0.18695 }
UVî‘çÜ149 : { 0.0851736, -0.184393 }
UVî‘çÜ150 : { 0.0529737, -0.170306 }
UVî‘çÜ151 : { 0.0604838, -0.18695 }
UVî‘çÜ152 : { 0.0440887, -0.189598 }
UVî‘çÜ153 : { 0.59063, -0.286021 }
UVî‘çÜ154 : { 0.559826, -0.336683 }
UVî‘çÜ155 : { 0.56102, -0.292738 }
UVî‘çÜ156 : { 0.591898, -0.253718 }
UVî‘çÜ157 : { 0.56102, -0.292738 }
UVî‘çÜ158 : { 0.56321, -0.261793 }
UVî‘çÜ159 : { 0.627523, -0.25258 }
UVî‘çÜ160 : { 0.59063, -0.286021 }
UVî‘çÜ161 : { 0.591898, -0.253718 }
UVî‘çÜ162 : { 0.564631, -0.228808 }
UVî‘çÜ163 : { 0.588347, -0.228808 }
UVî‘çÜ164 : { 0.591898, -0.253718 }
UVî‘çÜ165 : { 0.0202717, -0.140866 }
UVî‘çÜ166 : { 0.0532684, -0.14248 }
UVî‘çÜ167 : { 0.0202717, -0.168491 }
UVî‘çÜ168 : { 0.111337, -0.283749 }
UVî‘çÜ169 : { 0.113018, -0.265731 }
UVî‘çÜ170 : { 0.141934, -0.279683 }
UVî‘çÜ171 : { 0.0762345, -0.144699 }
UVî‘çÜ172 : { 0.0529737, -0.170306 }
UVî‘çÜ173 : { 0.0532684, -0.14248 }
UVî‘çÜ174 : { 0.0646189, -0.287915 }
UVî‘çÜ175 : { 0.0866655, -0.267284 }
UVî‘çÜ176 : { 0.0843418, -0.286437 }
UVî‘çÜ177 : { 0.0202717, -0.377482 }
UVî‘çÜ178 : { 0.0436731, -0.376081 }
UVî‘çÜ179 : { 0.0202717, -0.393071 }
UVî‘çÜ180 : { 0.627523, -0.337552 }
UVî‘çÜ181 : { 0.585109, -0.393071 }
UVî‘çÜ182 : { 0.588105, -0.334916 }
UVî‘çÜ183 : { 0.419901, -0.36461 }
UVî‘çÜ184 : { 0.469386, -0.393071 }
UVî‘çÜ185 : { 0.418562, -0.393071 }
UVî‘çÜ186 : { 0.170314, -0.281262 }
UVî‘çÜ187 : { 0.14388, -0.261755 }
UVî‘çÜ188 : { 0.173624, -0.261853 }
UVî‘çÜ189 : { 0.0866655, -0.267284 }
UVî‘çÜ190 : { 0.0932115, -0.240384 }
UVî‘çÜ191 : { 0.113018, -0.265731 }
UVî‘çÜ192 : { 0.0202717, -0.0818478 }
UVî‘çÜ193 : { 0.0601163, -0.03992 }
UVî‘çÜ194 : { 0.0568805, -0.0793378 }
UVî‘çÜ195 : { 0.0868987, -0.0135205 }
UVî‘çÜ196 : { 0.0601163, -0.03992 }
UVî‘çÜ197 : { 0.0582816, -0.0145478 }
UVî‘çÜ198 : { 0.0932115, -0.240384 }
UVî‘çÜ199 : { 0.101869, -0.223373 }
UVî‘çÜ200 : { 0.12098, -0.241198 }
UVî‘çÜ201 : { 0.351113, -0.393071 }
UVî‘çÜ202 : { 0.354984, -0.367872 }
UVî‘çÜ203 : { 0.377145, -0.393071 }
UVî‘çÜ204 : { 0.170314, -0.281262 }
UVî‘çÜ205 : { 0.203538, -0.308486 }
UVî‘çÜ206 : { 0.165399, -0.306381 }
UVî‘çÜ207 : { 0.56102, -0.292738 }
UVî‘çÜ208 : { 0.559826, -0.336683 }
UVî‘çÜ209 : { 0.519805, -0.295517 }
UVî‘çÜ210 : { 0.3614, -0.337626 }
UVî‘çÜ211 : { 0.354984, -0.367872 }
UVî‘çÜ212 : { 0.333621, -0.338297 }
UVî‘çÜ213 : { 0.0843418, -0.286437 }
UVî‘çÜ214 : { 0.0866655, -0.267284 }
UVî‘çÜ215 : { 0.111337, -0.283749 }
UVî‘çÜ216 : { 0.14388, -0.261755 }
UVî‘çÜ217 : { 0.170314, -0.281262 }
UVî‘çÜ218 : { 0.141934, -0.279683 }
UVî‘çÜ219 : { 0.050178, -0.270291 }
UVî‘çÜ220 : { 0.0590041, -0.239671 }
UVî‘çÜ221 : { 0.0339565, -0.272287 }
UVî‘çÜ222 : { 0.0762487, -0.369782 }
UVî‘çÜ223 : { 0.0599609, -0.372932 }
UVî‘çÜ224 : { 0.0699231, -0.334978 }
UVî‘çÜ225 : { 0.354984, -0.367872 }
UVî‘çÜ226 : { 0.351113, -0.393071 }
UVî‘çÜ227 : { 0.327445, -0.365965 }
UVî‘çÜ228 : { 0.25601, -0.36523 }
UVî‘çÜ229 : { 0.291029, -0.365656 }
UVî‘çÜ230 : { 0.25639, -0.393071 }
UVî‘çÜ231 : { 0.471852, -0.352948 }
UVî‘çÜ232 : { 0.525486, -0.393071 }
UVî‘çÜ233 : { 0.469386, -0.393071 }
UVî‘çÜ234 : { 0.148, -0.238754 }
UVî‘çÜ235 : { 0.173624, -0.261853 }
UVî‘çÜ236 : { 0.14388, -0.261755 }
UVî‘çÜ237 : { 0.0314284, -0.29143 }
UVî‘çÜ238 : { 0.0202717, -0.293601 }
UVî‘çÜ239 : { 0.0339565, -0.272287 }
UVî‘çÜ240 : { 0.113018, -0.265731 }
UVî‘çÜ241 : { 0.12098, -0.241198 }
UVî‘çÜ242 : { 0.14388, -0.261755 }
UVî‘çÜ243 : { 0.136884, -0.304535 }
UVî‘çÜ244 : { 0.16209, -0.332123 }
UVî‘çÜ245 : { 0.134473, -0.328522 }
UVî‘çÜ246 : { 0.0314284, -0.29143 }
UVî‘çÜ247 : { 0.0480236, -0.289672 }
UVî‘çÜ248 : { 0.0307944, -0.314875 }
UVî‘çÜ249 : { 0.0699231, -0.334978 }
UVî‘çÜ250 : { 0.0651786, -0.309598 }
UVî‘çÜ251 : { 0.0532077, -0.337895 }
UVî‘çÜ252 : { 0.0202717, -0.342039 }
UVî‘çÜ253 : { 0.0202717, -0.31782 }
UVî‘çÜ254 : { 0.0307944, -0.314875 }
UVî‘çÜ255 : { 0.0969486, -0.198148 }
UVî‘çÜ256 : { 0.0874504, -0.21272 }
UVî‘çÜ257 : { 0.0680298, -0.196655 }
UVî‘çÜ258 : { 0.0529737, -0.170306 }
UVî‘çÜ259 : { 0.0440887, -0.189598 }
UVî‘çÜ260 : { 0.0202717, -0.168491 }
UVî‘çÜ261 : { 0.0202717, -0.210531 }
UVî‘çÜ262 : { 0.0440887, -0.189598 }
UVî‘çÜ263 : { 0.0548434, -0.21214 }
UVî‘çÜ264 : { 0.0202717, -0.377482 }
UVî‘çÜ265 : { 0.0364926, -0.340812 }
UVî‘çÜ266 : { 0.0436731, -0.376081 }
UVî‘çÜ267 : { 0.0651786, -0.309598 }
UVî‘çÜ268 : { 0.0841918, -0.308182 }
UVî‘çÜ269 : { 0.0699231, -0.334978 }
UVî‘çÜ270 : { 0.203538, -0.308486 }
UVî‘çÜ271 : { 0.257704, -0.339598 }
UVî‘çÜ272 : { 0.201295, -0.337122 }
UVî‘çÜ273 : { 0.128092, -0.362624 }
UVî‘çÜ274 : { 0.114056, -0.330903 }
UVî‘çÜ275 : { 0.134473, -0.328522 }
UVî‘çÜ276 : { 0.0202717, -0.140866 }
UVî‘çÜ277 : { 0.0202717, -0.107251 }
UVî‘çÜ278 : { 0.0542658, -0.105951 }
UVî‘çÜ279 : { 0.163101, -0.364505 }
UVî‘çÜ280 : { 0.200823, -0.393071 }
UVî‘çÜ281 : { 0.164302, -0.393071 }
UVî‘çÜ282 : { 0.0568805, -0.0793378 }
UVî‘çÜ283 : { 0.0744889, -0.0747739 }
UVî‘çÜ284 : { 0.0542658, -0.105951 }
UVî‘çÜ285 : { 0.201119, -0.364781 }
UVî‘çÜ286 : { 0.25639, -0.393071 }
UVî‘çÜ287 : { 0.200823, -0.393071 }
UVî‘çÜ288 : { 0.259716, -0.312556 }
UVî‘çÜ289 : { 0.296919, -0.330414 }
UVî‘çÜ290 : { 0.257704, -0.339598 }
UVî‘çÜ291 : { 0.588105, -0.334916 }
UVî‘çÜ292 : { 0.558343, -0.393071 }
UVî‘çÜ293 : { 0.559826, -0.336683 }
UVî‘çÜ294 : { 0.290976, -0.393071 }
UVî‘çÜ295 : { 0.291029, -0.365656 }
UVî‘çÜ296 : { 0.325818, -0.393071 }
UVî‘çÜ297 : { 0.0841918, -0.308182 }
UVî‘çÜ298 : { 0.0843418, -0.286437 }
UVî‘çÜ299 : { 0.109662, -0.306005 }
UVî‘çÜ300 : { 0.0762345, -0.144699 }
UVî‘çÜ301 : { 0.0542658, -0.105951 }
UVî‘çÜ302 : { 0.074223, -0.109438 }
UVî‘çÜ303 : { 0.0307944, -0.314875 }
UVî‘çÜ304 : { 0.0479864, -0.312237 }
UVî‘çÜ305 : { 0.0364926, -0.340812 }
UVî‘çÜ306 : { 0.295187, -0.343862 }
UVî‘çÜ307 : { 0.291029, -0.365656 }
UVî‘çÜ308 : { 0.257704, -0.339598 }
UVî‘çÜ309 : { 0.295187, -0.343862 }
UVî‘çÜ310 : { 0.296919, -0.330414 }
UVî‘çÜ311 : { 0.333621, -0.338297 }
UVî‘çÜ312 : { 0.203538, -0.308486 }
UVî‘çÜ313 : { 0.211044, -0.2863 }
UVî‘çÜ314 : { 0.259716, -0.312556 }
UVî‘çÜ315 : { 0.0762345, -0.144699 }
UVî‘çÜ316 : { 0.0790461, -0.16884 }
UVî‘çÜ317 : { 0.0529737, -0.170306 }
UVî‘çÜ318 : { 0.0646189, -0.287915 }
UVî‘çÜ319 : { 0.0480236, -0.289672 }
UVî‘çÜ320 : { 0.0663998, -0.268296 }
UVî‘çÜ321 : { 0.165399, -0.306381 }
UVî‘çÜ322 : { 0.201295, -0.337122 }
UVî‘çÜ323 : { 0.16209, -0.332123 }
UVî‘çÜ324 : { 0.201119, -0.364781 }
UVî‘çÜ325 : { 0.16209, -0.332123 }
UVî‘çÜ326 : { 0.201295, -0.337122 }
UVî‘çÜ327 : { 0.525486, -0.393071 }
UVî‘çÜ328 : { 0.559826, -0.336683 }
UVî‘çÜ329 : { 0.558343, -0.393071 }
UVî‘çÜ330 : { 0.519805, -0.295517 }
UVî‘çÜ331 : { 0.519819, -0.342391 }
UVî‘çÜ332 : { 0.4734, -0.320518 }
UVî‘çÜ333 : { 0.141934, -0.279683 }
UVî‘çÜ334 : { 0.165399, -0.306381 }
UVî‘çÜ335 : { 0.170314, -0.281262 }
UVî‘çÜ336 : { 0.0841918, -0.308182 }
UVî‘çÜ337 : { 0.0843418, -0.286437 }
UVî‘çÜ338 : { 0.0651786, -0.309598 }
UVî‘çÜ339 : { 0.471852, -0.352948 }
UVî‘çÜ340 : { 0.519819, -0.342391 }
UVî‘çÜ341 : { 0.4734, -0.320518 }
UVî‘çÜ342 : { 0.388273, -0.337481 }
UVî‘çÜ343 : { 0.3614, -0.337626 }
UVî‘çÜ344 : { 0.382951, -0.370378 }
UVî‘çÜ345 : { 0.382951, -0.370378 }
UVî‘çÜ346 : { 0.3614, -0.337626 }
UVî‘çÜ347 : { 0.354984, -0.367872 }
UVî‘çÜ348 : { 0.163101, -0.364505 }
UVî‘çÜ349 : { 0.134473, -0.328522 }
UVî‘çÜ350 : { 0.128092, -0.362624 }
UVî‘çÜ351 : { 0.519819, -0.342391 }
UVî‘çÜ352 : { 0.525486, -0.393071 }
UVî‘çÜ353 : { 0.559826, -0.336683 }
UVî‘çÜ354 : { 0.0900383, -0.333458 }
UVî‘çÜ355 : { 0.102083, -0.366517 }
UVî‘çÜ356 : { 0.114056, -0.330903 }
UVî‘çÜ357 : { 0.102083, -0.366517 }
UVî‘çÜ358 : { 0.0900383, -0.333458 }
UVî‘çÜ359 : { 0.0762487, -0.369782 }
UVî‘çÜ360 : { 0.0568805, -0.0793378 }
UVî‘çÜ361 : { 0.0744889, -0.0747739 }
UVî‘çÜ362 : { 0.0601163, -0.03992 }
UVî‘çÜ363 : { 0.201119, -0.364781 }
UVî‘çÜ364 : { 0.25601, -0.36523 }
UVî‘çÜ365 : { 0.201295, -0.337122 }
UVî‘çÜ366 : { 0.113018, -0.265731 }
UVî‘çÜ367 : { 0.0866655, -0.267284 }
UVî‘çÜ368 : { 0.111337, -0.283749 }
UVî‘çÜ369 : { 0.4734, -0.320518 }
UVî‘çÜ370 : { 0.421615, -0.335786 }
UVî‘çÜ371 : { 0.471852, -0.352948 }
UVî‘çÜ372 : { 0.0314284, -0.29143 }
UVî‘çÜ373 : { 0.0202717, -0.293601 }
UVî‘çÜ374 : { 0.0307944, -0.314875 }
UVî‘çÜ375 : { 0.0202717, -0.210531 }
UVî‘çÜ376 : { 0.0202717, -0.241451 }
UVî‘çÜ377 : { 0.0548434, -0.21214 }
UVî‘çÜ378 : { 0.0762487, -0.369782 }
UVî‘çÜ379 : { 0.100962, -0.393071 }
UVî‘çÜ380 : { 0.102083, -0.366517 }
UVî‘çÜ381 : { 0.0762487, -0.369782 }
UVî‘çÜ382 : { 0.0599609, -0.372932 }
UVî‘çÜ383 : { 0.0736289, -0.393071 }
UVî‘çÜ384 : { 0.0436731, -0.376081 }
UVî‘çÜ385 : { 0.0601977, -0.393071 }
UVî‘çÜ386 : { 0.0599609, -0.372932 }
UVî‘çÜ387 : { 0.0202717, -0.241451 }
UVî‘çÜ388 : { 0.0202717, -0.274697 }
UVî‘çÜ389 : { 0.0429056, -0.238961 }
UVî‘çÜ390 : { 0.0711469, -0.21243 }
UVî‘çÜ391 : { 0.0590041, -0.239671 }
UVî‘çÜ392 : { 0.0874504, -0.21272 }
UVî‘çÜ393 : { 0.128092, -0.362624 }
UVî‘çÜ394 : { 0.102083, -0.366517 }
UVî‘çÜ395 : { 0.128508, -0.393071 }
UVî‘çÜ396 : { 0.0663998, -0.268296 }
UVî‘çÜ397 : { 0.0866655, -0.267284 }
UVî‘çÜ398 : { 0.0751024, -0.24038 }
UVî‘çÜ399 : { 0.0751024, -0.24038 }
UVî‘çÜ400 : { 0.0932115, -0.240384 }
UVî‘çÜ401 : { 0.0874504, -0.21272 }
UVî‘çÜ402 : { 0.0590041, -0.239671 }
UVî‘çÜ403 : { 0.050178, -0.270291 }
UVî‘çÜ404 : { 0.0751024, -0.24038 }
UVî‘çÜ405 : { 0.546753, -0.263977 }
UVî‘çÜ406 : { 0.519805, -0.295517 }
UVî‘çÜ407 : { 0.56321, -0.261793 }
UVî‘çÜ408 : { 0.109662, -0.306005 }
UVî‘çÜ409 : { 0.0841918, -0.308182 }
UVî‘çÜ410 : { 0.114056, -0.330903 }
UVî‘çÜ411 : { 0.0480236, -0.289672 }
UVî‘çÜ412 : { 0.0479864, -0.312237 }
UVî‘çÜ413 : { 0.0646189, -0.287915 }
UVî‘çÜ414 : { 0.141934, -0.279683 }
UVî‘çÜ415 : { 0.111337, -0.283749 }
UVî‘çÜ416 : { 0.136884, -0.304535 }
UVî‘çÜ417 : { 0.163101, -0.364505 }
UVî‘çÜ418 : { 0.128092, -0.362624 }
UVî‘çÜ419 : { 0.164302, -0.393071 }
UVî‘çÜ420 : { 0.0568805, -0.0793378 }
UVî‘çÜ421 : { 0.0202717, -0.0818478 }
UVî‘çÜ422 : { 0.0542658, -0.105951 }
UVî‘çÜ423 : { 0.136884, -0.304535 }
UVî‘çÜ424 : { 0.109662, -0.306005 }
UVî‘çÜ425 : { 0.134473, -0.328522 }
UVî‘çÜ426 : { 0.0582816, -0.0145478 }
UVî‘çÜ427 : { 0.0202717, -0.0143576 }
UVî‘çÜ428 : { 0.0601163, -0.03992 }
UVî‘çÜ429 : { 0.0599609, -0.372932 }
UVî‘çÜ430 : { 0.0532077, -0.337895 }
UVî‘çÜ431 : { 0.0436731, -0.376081 }
UVî‘çÜ432 : { 0.0548434, -0.21214 }
UVî‘çÜ433 : { 0.0429056, -0.238961 }
UVî‘çÜ434 : { 0.0711469, -0.21243 }
UVî‘çÜ435 : { 0.588105, -0.334916 }
UVî‘çÜ436 : { 0.627523, -0.337552 }
UVî‘çÜ437 : { 0.59063, -0.286021 }
UVî‘çÜ438 : { 0.588105, -0.334916 }
UVî‘çÜ439 : { 0.59063, -0.286021 }
UVî‘çÜ440 : { 0.559826, -0.336683 }
UVî‘çÜ441 : { 0.59063, -0.286021 }
UVî‘çÜ442 : { 0.591898, -0.253718 }
UVî‘çÜ443 : { 0.56102, -0.292738 }
UVî‘çÜ444 : { 0.627523, -0.285851 }
UVî‘çÜ445 : { 0.627523, -0.25258 }
UVî‘çÜ446 : { 0.59063, -0.286021 }
UVî‘çÜ447 : { 0.100962, -0.393071 }
UVî‘çÜ448 : { 0.0762487, -0.369782 }
UVî‘çÜ449 : { 0.0736289, -0.393071 }
UVî‘çÜ450 : { 0.14388, -0.261755 }
UVî‘çÜ451 : { 0.113018, -0.265731 }
UVî‘çÜ452 : { 0.141934, -0.279683 }
UVî‘çÜ453 : { 0.0548434, -0.21214 }
UVî‘çÜ454 : { 0.0711469, -0.21243 }
UVî‘çÜ455 : { 0.0680298, -0.196655 }
UVî‘çÜ456 : { 0.0339565, -0.272287 }
UVî‘çÜ457 : { 0.0314284, -0.29143 }
UVî‘çÜ458 : { 0.050178, -0.270291 }
UVî‘çÜ459 : { 0.0364926, -0.340812 }
UVî‘çÜ460 : { 0.0532077, -0.337895 }
UVî‘çÜ461 : { 0.0436731, -0.376081 }
UVî‘çÜ462 : { 0.0467663, -0.393071 }
UVî‘çÜ463 : { 0.0436731, -0.376081 }
UVî‘çÜ464 : { 0.0202717, -0.393071 }
UVî‘çÜ465 : { 0.0480236, -0.289672 }
UVî‘çÜ466 : { 0.0314284, -0.29143 }
UVî‘çÜ467 : { 0.050178, -0.270291 }
UVî‘çÜ468 : { 0.627523, -0.393071 }
UVî‘çÜ469 : { 0.627523, -0.337552 }
UVî‘çÜ470 : { 0.585109, -0.393071 }
UVî‘çÜ471 : { 0.388273, -0.337481 }
UVî‘çÜ472 : { 0.419901, -0.36461 }
UVî‘çÜ473 : { 0.421615, -0.335786 }
UVî‘çÜ474 : { 0.419901, -0.36461 }
UVî‘çÜ475 : { 0.388273, -0.337481 }
UVî‘çÜ476 : { 0.382951, -0.370378 }
UVî‘çÜ477 : { 0.471852, -0.352948 }
UVî‘çÜ478 : { 0.419901, -0.36461 }
UVî‘çÜ479 : { 0.469386, -0.393071 }
UVî‘çÜ480 : { 0.0436731, -0.376081 }
UVî‘çÜ481 : { 0.0532077, -0.337895 }
UVî‘çÜ482 : { 0.0364926, -0.340812 }
UVî‘çÜ483 : { 0.12098, -0.241198 }
UVî‘çÜ484 : { 0.0932115, -0.240384 }
UVî‘çÜ485 : { 0.113018, -0.265731 }
UVî‘çÜ486 : { 0.0429056, -0.238961 }
UVî‘çÜ487 : { 0.0711469, -0.21243 }
UVî‘çÜ488 : { 0.0590041, -0.239671 }
UVî‘çÜ489 : { 0.050178, -0.270291 }
UVî‘çÜ490 : { 0.0314284, -0.29143 }
UVî‘çÜ491 : { 0.0480236, -0.289672 }
UVî‘çÜ492 : { 0.0436731, -0.376081 }
UVî‘çÜ493 : { 0.0601977, -0.393071 }
UVî‘çÜ494 : { 0.0467663, -0.393071 }
UVî‘çÜ495 : { 0.4734, -0.320518 }
UVî‘çÜ496 : { 0.519819, -0.342391 }
UVî‘çÜ497 : { 0.519805, -0.295517 }
UVî‘çÜ498 : { 0.0202717, -0.0424849 }
UVî‘çÜ499 : { 0.0202717, -0.0818478 }
UVî‘çÜ500 : { 0.0601163, -0.03992 }
UVî‘çÜ501 : { 0.0823067, -0.0361871 }
UVî‘çÜ502 : { 0.0868987, -0.0135205 }
UVî‘çÜ503 : { 0.0601163, -0.03992 }
UVî‘çÜ504 : { 0.0479864, -0.312237 }
UVî‘çÜ505 : { 0.0651786, -0.309598 }
